Date,Open,High,Low,Close,Volume,Normalized_Open,Normalized_High,Normalized_Low,Normalized_Close,Normalized_Volume,Target price,Diff_Target_AND_Close_Percent,Label
1/8/2000,1430.829956,1443.540039,1428.959961,1438.099976,938700000,10.939941,5.890015,10.25,7.27002,-13900000,1438.699951,0.041719978,2
2/8/2000,1438.099976,1451.589966,1433.48999,1438.699951,994500000,7.27002,8.049927,4.530029,0.599975,55800000,1452.560059,0.963377248,2
3/8/2000,1438.699951,1454.189941,1425.430054,1452.560059,1095600000,0.599975,2.599975,-8.059936,13.860108,101100000,1462.930054,0.713911617,2
4/8/2000,1452.560059,1462.930054,1451.310059,1462.930054,956000000,13.860108,8.740113,25.880005,10.369995,-139600000,1479.319946,1.120346934,3
7/8/2000,1462.930054,1480.800049,1460.719971,1479.319946,854800000,10.369995,17.869995,9.409912,16.389892,-101200000,1482.800049,0.235250191,2
8/8/2000,1479.319946,1484.52002,1472.609985,1482.800049,992200000,16.389892,3.719971,11.890014,3.480103,137400000,1472.869995,-0.669682605,1
9/8/2000,1482.800049,1490.329956,1471.160034,1472.869995,1054000000,3.480103,5.809936,-1.449951,-9.930054,61800000,1460.25,-0.856830205,1
10/8/2000,1472.869995,1475.150024,1459.890015,1460.25,940800000,-9.930054,-15.179932,-11.270019,-12.619995,-113200000,1471.839966,0.793697381,2
11/8/2000,1460.25,1475.719971,1453.060059,1471.839966,835500000,-12.619995,0.569947,-6.829956,11.589966,-105300000,1491.560059,1.339825895,3
14-08-00,1471.839966,1491.640015,1468.560059,1491.560059,783800000,11.589966,15.920044,15.5,19.720093,-51700000,1484.430054,-0.478023326,1
15-08-00,1491.560059,1493.119995,1482.73999,1484.430054,895900000,19.720093,1.47998,14.179931,-7.130005,112100000,1479.849976,-0.30854118,1
16-08-00,1484.430054,1496.089966,1475.73999,1479.849976,929800000,-7.130005,2.969971,-7,-4.580078,33900000,1496.069946,1.096055023,3
17-08-00,1479.849976,1499.319946,1479.849976,1496.069946,922400000,-4.580078,3.22998,4.109986,16.21997,-7400000,1491.719971,-0.290760135,1
18-08-00,1496.069946,1499.469971,1488.98999,1491.719971,821400000,16.21997,0.150025,9.140014,-4.349975,-101000000,1499.47998,0.520205478,2
